x,y,prob,type,eye
-9,1,1,totaldev,os
-9,-1,,totaldev,os
-7,5,1,totaldev,os
-7,3,1,totaldev,os
-7,1,1,totaldev,os
-7,-1,,totaldev,os
-7,-3,,totaldev,os
-7,-5,,totaldev,os
-5,7,,totaldev,os
-5,5,1,totaldev,os
-5,3,1,totaldev,os
-5,1,1,totaldev,os
-5,-1,,totaldev,os
-5,-3,,totaldev,os
-5,-5,,totaldev,os
-5,-7,,totaldev,os
-3,7,,totaldev,os
-3,5,1,totaldev,os
-3,3,1,totaldev,os
-3,1,2,totaldev,os
-3,-1,,totaldev,os
-3,-3,,totaldev,os
-3,-5,,totaldev,os
-3,-7,,totaldev,os
-1,9,,totaldev,os
-1,7,,totaldev,os
-1,5,1,totaldev,os
-1,3,1,totaldev,os
-1,1,2,totaldev,os
-1,-1,,totaldev,os
-1,-3,,totaldev,os
-1,-5,5,totaldev,os
-1,-7,,totaldev,os
-1,-9,,totaldev,os
1,9,2,totaldev,os
1,7,,totaldev,os
1,5,5,totaldev,os
1,3,1,totaldev,os
1,1,1,totaldev,os
1,-1,,totaldev,os
1,-3,,totaldev,os
1,-5,,totaldev,os
1,-7,,totaldev,os
1,-9,,totaldev,os
3,7,,totaldev,os
3,5,,totaldev,os
3,3,2,totaldev,os
3,1,1,totaldev,os
3,-1,5,totaldev,os
3,-3,,totaldev,os
3,-5,,totaldev,os
3,-7,,totaldev,os
5,7,,totaldev,os
5,5,,totaldev,os
5,3,1,totaldev,os
5,1,2,totaldev,os
5,-1,2,totaldev,os
5,-3,,totaldev,os
5,-5,,totaldev,os
5,-7,,totaldev,os
7,5,,totaldev,os
7,3,5,totaldev,os
7,1,5,totaldev,os
7,-1,,totaldev,os
7,-3,,totaldev,os
7,-5,,totaldev,os
9,1,,totaldev,os
9,-1,,totaldev,os
