x,y,prob,type,eye
-21,9,,totaldev,os
-21,3,,totaldev,os
-21,-3,,totaldev,os
-21,-9,,totaldev,os
-15,15,,totaldev,os
-15,9,,totaldev,os
-15,-9,5,totaldev,os
-15,-15,,totaldev,os
-9,21,,totaldev,os
-9,15,,totaldev,os
-9,9,,totaldev,os
-9,3,0.5,totaldev,os
-9,-3,,totaldev,os
-9,-9,,totaldev,os
-9,-15,5,totaldev,os
-9,-21,,totaldev,os
-3,21,,totaldev,os
-3,15,,totaldev,os
-3,9,,totaldev,os
-3,3,0.5,totaldev,os
-3,-3,,totaldev,os
-3,-9,,totaldev,os
-3,-15,,totaldev,os
-3,-21,,totaldev,os
3,21,,totaldev,os
3,15,,totaldev,os
3,9,,totaldev,os
3,3,,totaldev,os
3,-3,,totaldev,os
3,-9,2,totaldev,os
3,-15,,totaldev,os
3,-21,,totaldev,os
9,21,,totaldev,os
9,15,,totaldev,os
9,9,,totaldev,os
9,3,,totaldev,os
9,-3,,totaldev,os
9,-9,,totaldev,os
9,-15,,totaldev,os
9,-21,,totaldev,os
15,15,,totaldev,os
15,9,,totaldev,os
15,3,,totaldev,os
15,-3,,totaldev,os
15,-9,,totaldev,os
15,-15,,totaldev,os
21,9,,totaldev,os
21,3,,totaldev,os
21,-3,,totaldev,os
21,-9,,totaldev,os
27,3,,totaldev,os
27,-3,,totaldev,os
