x,y,x_morphed,y_morphed,vf_type,24d2C
-9,21,-9,21,24d2,TRUE
-3,21,-3,21,24d2,TRUE
3,21,3,21,24d2,TRUE
9,21,9,21,24d2,TRUE
-15,15,-15,15,24d2,TRUE
-9,15,-9,15,24d2,TRUE
-3,15,-3,15,24d2,TRUE
3,15,3,15,24d2,TRUE
9,15,9,15,24d2,TRUE
15,15,15,15,24d2,TRUE
-21,9,-21,9,24d2,TRUE
-15,9,-15,9,24d2,TRUE
-9,9,-9.28596469,9.28596469,24d2,TRUE
-3,9,-3.286584145,9.859752435,24d2,TRUE
3,9,3.286584145,9.859752435,24d2,TRUE
9,9,9.28596469,9.28596469,24d2,TRUE
15,9,15,9,24d2,TRUE
21,9,21,9,24d2,TRUE
-27,3,-27,3,24d2,TRUE
-21,3,-21,3,24d2,TRUE
-15,3,-15,3,24d2,TRUE
-9,3,-9.859752435,3.286584145,24d2,TRUE
-3,3,-4.204274918,4.204274918,24d2,TRUE
3,3,4.204274918,4.204274918,24d2,TRUE
9,3,9.859752435,3.286584145,24d2,TRUE
21,3,21,3,24d2,TRUE
-27,-3,-27,-3,24d2,TRUE
-21,-3,-21,-3,24d2,TRUE
-15,-3,-15,-3,24d2,TRUE
-9,-3,-9.859752435,-3.286584145,24d2,TRUE
-3,-3,-4.204274918,-4.204274918,24d2,TRUE
3,-3,4.204274918,-4.204274918,24d2,TRUE
9,-3,9.859752435,-3.286584145,24d2,TRUE
21,-3,21,-3,24d2,TRUE
-21,-9,-21,-9,24d2,TRUE
-15,-9,-15,-9,24d2,TRUE
-9,-9,-9.28596469,-9.28596469,24d2,TRUE
-3,-9,-3.286584145,-9.859752435,24d2,TRUE
3,-9,3.286584145,-9.859752435,24d2,TRUE
9,-9,9.28596469,-9.28596469,24d2,TRUE
15,-9,15,-9,24d2,TRUE
21,-9,21,-9,24d2,TRUE
-15,-15,-15,-15,24d2,TRUE
-9,-15,-9,-15,24d2,TRUE
-3,-15,-3,-15,24d2,TRUE
3,-15,3,-15,24d2,TRUE
9,-15,9,-15,24d2,TRUE
15,-15,15,-15,24d2,TRUE
-9,-21,-9,-21,24d2,TRUE
